Input,Unit Number,Unit Type,Lesse,Status,City,Depot,Manuf. Year/Month,Manufacturer
segu7300246,SEGU7300246,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300251,SEGU7300251,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300267,SEGU7300267,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300272,SEGU7300272,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-SHA - Shanghai,Greating Fortune Shanghai Container - 1713,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300288,SEGU7300288,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300293,SEGU7300293,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300307,SEGU7300307,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300312,SEGU7300312,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300333,SEGU7300333,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300349,SEGU7300349,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300354,SEGU7300354,OT4 - 40' Open Top,CMA CGM,Off Hire,NWE-BE-ANR - Antwerp,DR Depots BV - 2522,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300328,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300360,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300380,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300396,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300400,SEGU7300400,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300375,SEGU7300375,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300415,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300420,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300436,SEGU7300436,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300441,SEGU7300441,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,SEA-SG-SIN - Singapore,Eng Kong Container Agencies Pte Ltd - 1547,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300457,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300462,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300478,SEGU7300478,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300483,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300499,SEGU7300499,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300502,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300518,SEGU7300518,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300523,SEGU7300523,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300539,SEGU7300539,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300544,SEGU7300544,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300550,SEGU7300550,OT4 - 40' Open Top,Transinsular-Transportes Maritimos,On Hire,MED-PT-QQQ - Portugal Pier,Portugese Pier Depot - 9008,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300565,SEGU7300565,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300570,SEGU7300570,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300586,SEGU7300586,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300591,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300605,SEGU7300605,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300610,SEGU7300610,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300626,SEGU7300626,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300631,SEGU7300631,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300647,SEGU7300647,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300652,SEGU7300652,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300668,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300673,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300689,SEGU7300689,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300694,SEGU7300694,OT4 - 40' Open Top,"Sinotrans Container Lines Co., Ltd",On Hire,MCH-CN-SHA - Shanghai,Greating Fortune Shanghai Container - 1713,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300708,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300713,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300729,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300734,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300740,SEGU7300740,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-SHA - Shanghai,Greating Fortune Shanghai Container - 1713,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300755,SEGU7300755,OT4 - 40' Open Top,Ceekay Shipping Pte Ltd & Parekh,On Hire,NWE-BE-ANR - Antwerp,Teveco NV - 1918,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300760,SEGU7300760,OT4 - 40' Open Top,Sold,,Not Found,Not Found,GB/C16735LR/2011,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300776,SEGU7300776,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300781,SEGU7300781,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,NWE-DE-HAM - Hamburg,Remain GmbH - 1184,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300797,SEGU7300797,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,NWE-DE-HAM - Hamburg,Remain GmbH - 1184,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300800,SEGU7300800,OT4 - 40' Open Top,Ocean Network Express Pte. Ltd.,On Hire,NWE-DE-HAM - Hamburg,HCS Hamburger Container Service GmbH - 1743,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300816,SEGU7300816,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300821,SEGU7300821,OT4 - 40' Open Top,"Fuzhou Mawei Shipping Co., Ltd. & F",On Hire,SCH-CN-XMN - Xiamen,Xiamen ITG Tidak Bonded Logistics C - 2627,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300837,SEGU7300837,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300842,SEGU7300842,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300858,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7300863,SEGU7300863,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300879,SEGU7300879,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300884,SEGU7300884,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300890,SEGU7300890,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300903,SEGU7300903,OT4 - 40' Open Top,Sold,,Not Found,Not Found,GB/C16735LR/2011,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300919,SEGU7300919,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300924,SEGU7300924,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300930,SEGU7300930,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300945,SEGU7300945,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300950,SEGU7300950,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300966,SEGU7300966,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300971,SEGU7300971,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300987,SEGU7300987,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7300992,SEGU7300992,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301005,SEGU7301005,OT4 - 40' Open Top,CMA CGM,On Hire,NEA-KR-PUS - Busan,New Continental Logistics Co Ltd - 1973,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301010,SEGU7301010,OT4 - 40' Open Top,CMA CGM,On Hire,NEA-KR-PUS - Busan,Newcontinental 2CY - 2561,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301026,SEGU7301026,OT4 - 40' Open Top,"Sinotrans Container Lines Co., Ltd",On Hire,MCH-CN-SHA - Shanghai,Greating Fortune Shanghai Container - 1713,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301031,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7301047,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7301052,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7301068,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7301073,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7301089,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7301094,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7301108,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7301113,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7301129,SEGU7301129,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301140,SEGU7301140,OT4 - 40' Open Top,Ceekay Shipping Pte Ltd & Parekh,On Hire,ISC-IN-MAA - Chennai,Bay Container Term Pvt Ltd (Madras) - 1296,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301155,SEGU7301155,OT4 - 40' Open Top,Ocean Network Express Pte. Ltd.,On Hire,NWE-NL-RTM - Rotterdam,Cetem Containers Bv - 2118,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301160,SEGU7301160,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301176,SEGU7301176,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301181,SEGU7301181,OT4 - 40' Open Top,FESCO Ocean Management Limited,On Hire,MCH-CN-SHA - Shanghai,Greating Fortune Shanghai Container - 1713,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301197,SEGU7301197,OT4 - 40' Open Top,Sold,,Not Found,Not Found,GB/C16735LR/2011,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301200,SEGU7301200,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-SHA - Shanghai,Greating Fortune Shanghai Container - 1713,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301216,SEGU7301216,OT4 - 40' Open Top,"Matson Navigation Company, Inc",On Hire,MCH-CN-NGB - Ningbo,Greating Fortune(Ningbo)Logistics Co Ltd - 1771,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301221,SEGU7301221,OT4 - 40' Open Top,Transinsular-Transportes Maritimos,On Hire,MED-PT-QQQ - Portugal Pier,Portugese Pier Depot - 9008,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301237,SEGU7301237,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301242,SEGU7301242,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301258,SEGU7301258,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301263,SEGU7301263,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301279,SEGU7301279,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301284,SEGU7301284,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301290,SEGU7301290,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301303,SEGU7301303,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301319,SEGU7301319,OT4 - 40' Open Top,Sold,,Not Found,Not Found,GB/C16735LR/2011,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301330,SEGU7301330,OT4 - 40' Open Top,Sold,,Not Found,Not Found,GB/C16735LR/2011,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301345,SEGU7301345,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-SHA - Shanghai,Greating Fortune Shanghai Container - 1713,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301350,SEGU7301350,OT4 - 40' Open Top,Ceekay Shipping Pte Ltd & Parekh,On Hire,MCH-CN-SHA - Shanghai,Greating Fortune Shanghai Container - 1713,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301366,SEGU7301366,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301371,SEGU7301371,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301387,SEGU7301387,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301392,SEGU7301392,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7301406,SEGU7301406,OT4 - 40' Open Top,CMA CGM,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2011/12,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
