Product Name,Product Link,Product Price,Product Category,Image & Anchor Links,Full Description,Left Eye Power,Right Eye Power,Sale Price,Product Subcategory
Classy Reading Glasses Black,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ireader/classy-reading-glasses-black,15.0,Reading Glasses,"https://cdn.adasat.online/product/additional/product21720532419.jpg, https://cdn.adasat.online/product/product11720532419.jpg, https://cdn.adasat.online/product/additional/product21720532419.jpg, https://cdn.adasat.online/product/product11720532419.jpg","GENERAL INFO:
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","+3.00,+2.50,+2.00,+1.50,+1.00","+3.00,+2.50,+2.00,+1.50,+1.00",,Ireader
White Transparent,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/white-transparent,15.0,Reading Glasses,"https://cdn.adasat.online/product/additional/product31719133668.jpg, https://cdn.adasat.online/product/product11719133196.jpg, https://cdn.adasat.online/product/additional/product21719133668.jpg, https://cdn.adasat.online/product/additional/product31719133668.jpg, https://cdn.adasat.online/product/product11719133196.jpg","GENERAL INFO:
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00",,Ritz Eyewear
Brown Transparent,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/brown-transparent,15.0,Reading Glasses,"https://cdn.adasat.online/product/additional/product31719133696.jpg, https://cdn.adasat.online/product/product11719133148.jpg, https://cdn.adasat.online/product/additional/product21719133696.jpg, https://cdn.adasat.online/product/additional/product31719133696.jpg, https://cdn.adasat.online/product/product11719133148.jpg","GENERAL INFO:
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00",,Ritz Eyewear
Beige Transparent,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/beige-transparent,15.0,Reading Glasses,"https://cdn.adasat.online/product/additional/product31719133719.jpg, https://cdn.adasat.online/product/product11719133079.jpg, https://cdn.adasat.online/product/additional/product21719133719.jpg, https://cdn.adasat.online/product/additional/product31719133719.jpg, https://cdn.adasat.online/product/product11719133079.jpg","GENERAL INFO:
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00",,Ritz Eyewear
Shiny Black RM4110 - C1,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/shiny-black-rm4110---c1,15.0,Reading Glasses,"https://cdn.adasat.online/product/additional/product31718012967.jpg, https://cdn.adasat.online/product/product11718012966.jpg, https://cdn.adasat.online/product/additional/product21718012967.jpg, https://cdn.adasat.online/product/additional/product31718012967.jpg, https://cdn.adasat.online/product/product11718012966.jpg","GENERAL DESCRIPTION
GENERAL INFO:
Anti Blue Light
+1.0
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00",,Ritz Eyewear
Matte Black RM4110 - C2,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/matte-black-rm4110---c2,15.0,Reading Glasses,"https://cdn.adasat.online/product/additional/product31718012863.jpg, https://cdn.adasat.online/product/product11718012862.jpg, https://cdn.adasat.online/product/additional/product21718012862.jpg, https://cdn.adasat.online/product/additional/product31718012863.jpg, https://cdn.adasat.online/product/product11718012862.jpg","GENERAL DESCRIPTION
GENERAL INFO:
Anti Blue Light
+1.0
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00","+3.00,+2.75,+2.50,+2.25,+2.00,+1.75,+1.50,+1.25,+1.00",,Ritz Eyewear
Eve,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/icon-collection/eve,12.0,Illuzion,"https://cdn.adasat.online/product/additional/product31717410604.jpg, https://cdn.adasat.online/product/product11717410604.jpg, https://cdn.adasat.online/product/additional/product21717410604.jpg, https://cdn.adasat.online/product/additional/product31717410604.jpg, https://cdn.adasat.online/product/product11717410604.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Icon Collection
Ayla,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/icon-collection/ayla2,12.0,Illuzion,"https://cdn.adasat.online/product/additional/product31717410023.jpg, https://cdn.adasat.online/product/product11717410023.jpg, https://cdn.adasat.online/product/additional/product21717410023.jpg, https://cdn.adasat.online/product/additional/product31717410023.jpg, https://cdn.adasat.online/product/product11717410023.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Icon Collection
Thunder,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/thunder-3,7.0,Wonderlook,"https://cdn.adasat.online/product/additional/product31716986867.jpg, https://cdn.adasat.online/product/product11716986866.jpg, https://cdn.adasat.online/product/additional/product21716986867.jpg, https://cdn.adasat.online/product/additional/product31716986867.jpg, https://cdn.adasat.online/product/product11716986866.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING        1 box contains 10 lenses
· REPLACEMENT    Daily disposable
· LENS MATERIAL   Hema & Polymacon
· LENS SEGMENT   Colored lens
· DIAMETER          14.2
· BASE CURVE       8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Wonderlook
Snow,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/snow-6,7.0,Wonderlook,"https://cdn.adasat.online/product/additional/product31716986798.jpg, https://cdn.adasat.online/product/product11716986798.jpg, https://cdn.adasat.online/product/additional/product21716986798.jpg, https://cdn.adasat.online/product/additional/product31716986798.jpg, https://cdn.adasat.online/product/product11716986798.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING        1 box contains 10 lenses
· REPLACEMENT    Daily disposable
· LENS MATERIAL   Hema & Polymacon
· LENS SEGMENT   Colored lens
· DIAMETER          14.2
· BASE CURVE       8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Wonderlook
Sand,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/sand-6,7.0,Wonderlook,"https://cdn.adasat.online/product/additional/product31716986736.jpg, https://cdn.adasat.online/product/product11716986736.jpg, https://cdn.adasat.online/product/additional/product21716986736.jpg, https://cdn.adasat.online/product/additional/product31716986736.jpg, https://cdn.adasat.online/product/product11716986736.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING        1 box contains 10 lenses
· REPLACEMENT    Daily disposable
· LENS MATERIAL   Hema & Polymacon
· LENS SEGMENT   Colored lens
· DIAMETER          14.2
· BASE CURVE       8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Wonderlook
Rio,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/rio-4,7.0,Wonderlook,"https://cdn.adasat.online/product/additional/product31716986594.jpg, https://cdn.adasat.online/product/product11716986594.jpg, https://cdn.adasat.online/product/additional/product21716986594.jpg, https://cdn.adasat.online/product/additional/product31716986594.jpg, https://cdn.adasat.online/product/product11716986594.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING        1 box contains 10 lenses
· REPLACEMENT    Daily disposable
· LENS MATERIAL   Hema & Polymacon
· LENS SEGMENT   Colored lens
· DIAMETER          14.2
· BASE CURVE       8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Wonderlook
Navy,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/navy-6,7.0,Wonderlook,"https://cdn.adasat.online/product/additional/product31716986518.jpg, https://cdn.adasat.online/product/product11716986518.jpg, https://cdn.adasat.online/product/additional/product21716986518.jpg, https://cdn.adasat.online/product/additional/product31716986518.jpg, https://cdn.adasat.online/product/product11716986518.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING        1 box contains 10 lenses
· REPLACEMENT    Daily disposable
· LENS MATERIAL   Hema & Polymacon
· LENS SEGMENT   Colored lens
· DIAMETER          14.2
· BASE CURVE       8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Wonderlook
Mint,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/mint-6,7.0,Wonderlook,"https://cdn.adasat.online/product/additional/product31716986451.jpg, https://cdn.adasat.online/product/product11716986450.jpg, https://cdn.adasat.online/product/additional/product21716986451.jpg, https://cdn.adasat.online/product/additional/product31716986451.jpg, https://cdn.adasat.online/product/product11716986450.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING        1 box contains 10 lenses
· REPLACEMENT    Daily disposable
· LENS MATERIAL   Hema & Polymacon
· LENS SEGMENT   Colored lens
· DIAMETER          14.2
· BASE CURVE       8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Wonderlook
Lava,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/lava-6,7.0,Wonderlook,"https://cdn.adasat.online/product/additional/product31716986308.jpg, https://cdn.adasat.online/product/product11716986308.jpg, https://cdn.adasat.online/product/additional/product21716986308.jpg, https://cdn.adasat.online/product/additional/product31716986308.jpg, https://cdn.adasat.online/product/product11716986308.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING        1 box contains 10 lenses
· REPLACEMENT    Daily disposable
· LENS MATERIAL   Hema & Polymacon
· LENS SEGMENT   Colored lens
· DIAMETER          14.2
· BASE CURVE       8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Wonderlook
Diamond,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/diamond-9,7.0,Wonderlook,"https://cdn.adasat.online/product/additional/product31716986245.jpg, https://cdn.adasat.online/product/product11716986245.jpg, https://cdn.adasat.online/product/additional/product21716986245.jpg, https://cdn.adasat.online/product/additional/product31716986245.jpg, https://cdn.adasat.online/product/product11716986245.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING        1 box contains 10 lenses
· REPLACEMENT    Daily disposable
· LENS MATERIAL   Hema & Polymacon
· LENS SEGMENT   Colored lens
· DIAMETER          14.2
· BASE CURVE       8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,,Wonderlook
