Full Name,Division,Insurance Network
"Elizabeth Choi, DO",Family Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Ahuva Cices, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Kristina M Creadore, OD",Optometry,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Cula Dautriche-Svidzinski, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Louis R DePalo, MD",Pulmonary Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Humana (Medicare), Oscar, Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Douglas T Dieterich, MD",Liver Diseases,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Jared Dropkin, DO",Family Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Mary C Earnhardt, MD",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Laurie Edelman, MD",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Courtney Ensslin, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Ralph Fader, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Khashayar Farhoomandi, MD",Family Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Shara J Feldman, PhD",Psychology,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Justine Fenner-Biederman, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Daniel S Fierer, MD",Infectious Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Beverly A Forsyth, MD",Infectious Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Christine J Friedman, MD",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Michael M Gaisa, MD",Infectious Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Alexandra Golant, MD",Dermatology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Tessa S Gomez, MD",Infectious Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Dimitry Goncharov, DO",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Srinivasa N Gopalsamy, MD",Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Nicholas Gulati, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Anjali Gupta, MD",Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Patricia Heller, MD",Dermatopathology / Anatomic & Clinical Pathology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Xequiel Hernandez, MD",Family Medicine,"Centivo Comerical, Humana (Medicare), Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Anna T Hickner, PsyD",Psychology,"Aetna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Humana (Medicare), Oscar, Top Tier
Clinically Integrated Network Member"
"Diana Y Ho, MD",Obstetrics & Gynecology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Sarah Humphreys, MD",Internal Medicine / Infectious Disease,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Andrew Ji, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Ruchi Karsalia, MD",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Saakshi Khattri, MD",Dermatology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Nadia I Kihiczak, MD",Dermatology,"Spring Street Dermatology, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Oscar Klein, MD",Infectious Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Deborah Korenstein, MD",Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Sanjana C Koshy, MD",Infectious Disease / Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Angela J Lamb, MD",Dermatology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Humana (Medicare), Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Linda Law, MD",Gastroenterology / Hepatology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"James Lebret, MD",Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jack Lee, PhD",Psychology,"Oscar
Clinically Integrated Network Member"
"Paul Leis, DO",Cardiology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jared D Leventhal, MD",Cardiology,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Jesse Lewin, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Max A Lichtenstein, MD",Psychiatry,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Humana (Medicare), Oscar, Top Tier
Clinically Integrated Network Member"
"Samantha B Lowe, DO",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Michael P Mullen, MD",Infectious Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Marissa D Newman, MD",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"George Niedt, MD",Pathology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Shyanne L Ninham, LMHC",Licensed Mental Health Counselor,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Matthew Oransky, PhD",Psychology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Oscar, Top Tier
Clinically Integrated Network Member"
"Amanda Owens, MD",Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Sapna R Palep, MD",Dermatology,"Aetna (Commercial) Clinical Integrated Network, Aetna 
(Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrate
Network, Cigna (Medicare) Clinical Integrated Network, Emblem (GH
Medicare) Clinical Integrated Network, Emblem Health (HIP 
Commerical and Medicare) Clinical Integrated Network, Emblem 
Health (HIP) Clinical Integrated Network, Empire (Commercial) Clinic
Integrated Network, Empire (Commercial/Medicare) Clinical Integrate
Network, Humana (Medicare), Humana (Medicare), Oscar, Oscar, To
Tier, UMR Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Nicole G Palmer, DO",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Komal Pandya, MD",Dermatology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Katharine A Pelletier, MD",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Shirin S Peters, MD",Internal Medicine,"Bethany Medical Clinic of New York, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Robert G Phelps, MD",Dermatopathology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Lina Pilshchik, DO",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Vanessa Pinard, MD",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Amy R Polansky, PT",Physical Therapist,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Stephanie A Pollitz, MD",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Marcus Reis, PT",Physical Therapist,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Zoe I Rodriguez, MD",Obstetrics & Gynecology,"Aetna (Commercial) Clinical Integrated Network, Aetna 
(Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrate
Network, Cigna (Medicare) Clinical Integrated Network, Emblem (GH
Medicare) Clinical Integrated Network, Emblem Health (HIP 
Commerical and Medicare) Clinical Integrated Network, Emblem 
Health (HIP) Clinical Integrated Network, Empire (Commercial) Clinic
Integrated Network, Empire (Commercial/Medicare) Clinical Integrate
Network, Humana (Medicare), Humana (Medicare), Oscar, Oscar, To
Tier, UMR Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Jean C Rodriguez -Agramonte, MD",Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Leigh Rosen, MD",Obstetrics & Gynecology,"Centivo Comerical, Humana (Medicare)
Clinically Integrated Network Member"
"Yelena Rubinshteyn, MD",Family Medicine,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Valeria J Rubinstein, MD",Ophthalmology,"Hudson Yard Surgery Center
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Joshua D Safer, MD",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member
(212)604-1701    |    275 Seventh Avenue, New York, NY 10001    |      .18 miles
Emily Schmidt-Beuchat, MD
Obstetrics & Gynecology
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrated 
Network, Cigna (Medicare) Clinical Integrated Network, Emblem (GHI 
Medicare) Clinical Integrated Network, Emblem Health (HIP 
Commerical and Medicare) Clinical Integrated Network, Empire 
(Commercial/Medicare) Clinical Integrated Network, Humana 
(Medicare), Humana (Medicare), Oscar, Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Molly Sherb, PhD",Psychology,"Humana (Medicare), Oscar, Top Tier
Clinically Integrated Network Member"
"Keith M Sigel, MD",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Richard Silvera, MD",Infectious Disease / Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Timothy G Stahl, PhD",Psychology,"Oscar
Clinically Integrated Network Member"
"Timothy F Sullivan, MD",Infectious Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Jordan P Talia, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jess Ting, MD",Plastic Surgery,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Empire (Commercial) Clinical Integrated Network, Oscar, Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Cheng M Tou, MD",Obstetrics & Gynecology,"Goncharov Medical PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"David S Ullmann, PsyD",Psychology,"David S. Ullmann
UMR Top Tier
Clinically Integrated Network Member"
"Benjamin N Ungar, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jonathan P Ungar, MD",Dermatology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Antonio E Urbina, MD",Infectious Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Freddie C Verzosa, MD",Family Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Suzanne Walker, MD",Family Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Olivia Wind, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
